Country,Job_postings,Total_Job_postings,Relative_Job_postings,Year
Global,48291.0,376811.0,0.1281570867092521,2017
Global,133753.0,996944.0,0.1341630021345231,2017
Global,141887.0,1005039.0,0.1411756160706201,2017
Global,140433.0,993222.0,0.1413913505741918,2018
Global,141113.0,994217.0,0.141933803183812,2018
Global,149270.0,1015585.0,0.1469793271858091,2018
Global,153448.0,989500.0,0.1550763011622031,2018
Global,165288.0,1019979.0,0.1620503951551943,2019
Global,177408.0,1002716.0,0.1769274650050463,2019
Global,179957.0,963411.0,0.1867915147325492,2019
Global,124081.0,664403.0,0.1867556287373777,2019
Global,204217.0,1037201.0,0.1968924056185831,2020
Global,172704.0,828853.0,0.208365053875657,2020
Global,195758.0,880824.0,0.222244171366811,2020
Global,204075.0,871490.0,0.234167919310606,2020
Global,183712.0,760515.0,0.2415626253262592,2021
Global,187917.0,757789.0,0.2479806384099004,2021
Global,196700.0,795274.0,0.2473361382366329,2021
Global,76249.0,339929.0,0.2243086056205854,2021
Global,198677.0,745536.0,0.2664888080521933,2022
Global,234064.0,868302.0,0.2695651973622081,2022
Global,245058.0,894678.0,0.2739063663127963,2022
Global,748764.0,2460120.0,0.3043607628896151,2022
Global,1088390.0,3806696.0,0.2859146094145684,2023
Global,730074.0,2494717.0,0.2926480238039024,2023
Germany,6049.0,52070.0,0.1161705396581524,2017
Germany,15360.0,131121.0,0.1171437069576955,2017
Germany,14887.0,135655.0,0.1097416239725775,2017
Germany,14863.0,122449.0,0.1213811464364755,2018
Germany,15230.0,129429.0,0.117670692039651,2018
Germany,15913.0,132245.0,0.1203296911036334,2018
Germany,16465.0,130351.0,0.1263128015895543,2018
Germany,18825.0,137782.0,0.136628877502141,2019
Germany,20345.0,139927.0,0.1453972428480565,2019
Germany,18016.0,117921.0,0.1527802511851154,2019
Germany,11806.0,74766.0,0.1579060000535002,2019
Germany,20509.0,113347.0,0.180939945477163,2020
Germany,18045.0,107876.0,0.1672753902628944,2020
Germany,20414.0,119623.0,0.1706528008827733,2020
Germany,17492.0,90798.0,0.1926474151413026,2020
Germany,15697.0,66416.0,0.2363436521320163,2021
Germany,15421.0,61323.0,0.2514717153433459,2021
Germany,21075.0,88454.0,0.2382594342822258,2021
Germany,12345.0,50806.0,0.2429831122308388,2021
Germany,18694.0,70000.0,0.2670571428571429,2022
Germany,24510.0,93274.0,0.2627741921650192,2022
Germany,23501.0,93017.0,0.2526527408968253,2022
Germany,65997.0,250760.0,0.2631879087573776,2022
Germany,79332.0,322645.0,0.2458801469106913,2023
Germany,46909.0,210923.0,0.2223986952584592,2023
France,3675.0,30845.0,0.1191441076349489,2017
France,9380.0,78024.0,0.1202194196657438,2017
France,10849.0,80118.0,0.1354127661698994,2017
France,9218.0,102732.0,0.0897286142584589,2018
France,8620.0,97363.0,0.0885346589566878,2018
France,8347.0,95110.0,0.0877615392703185,2018
France,9531.0,105928.0,0.0899762102560229,2018
France,12192.0,110097.0,0.1107387122264911,2019
France,15895.0,98623.0,0.1611693012786064,2019
France,15576.0,89460.0,0.1741113346747149,2019
France,10936.0,60704.0,0.180152872957301,2019
France,15732.0,85552.0,0.183888161585936,2020
France,9141.0,58385.0,0.1565641860066798,2020
France,10532.0,66022.0,0.1595225833812971,2020
France,11718.0,68841.0,0.1702183291933586,2020
France,10978.0,63193.0,0.1737217729811846,2021
France,11527.0,67307.0,0.1712600472462002,2021
France,11751.0,70522.0,0.1666288534074473,2021
France,6425.0,31530.0,0.2037741833174754,2021
France,10631.0,48019.0,0.2213915325183781,2022
France,11708.0,56617.0,0.2067930126993659,2022
France,12313.0,66319.0,0.1856632337640796,2022
France,24482.0,125380.0,0.195262402297017,2022
France,35437.0,186541.0,0.1899689612471252,2023
France,25609.0,130559.0,0.1961488675617919,2023
Global - G20,2203.9473684210525,17042.052631578947,0.1293240559729956,2017
Global - G20,6177.8421052631575,45672.57894736842,0.1352637019333263,2017
Global - G20,6716.052631578948,46583.63157894737,0.1441719420306884,2017
Global - G20,6571.105263157895,46174.0,0.1423118045471021,2018
Global - G20,6657.578947368421,46596.73684210526,0.142876505922032,2018
Global - G20,7071.526315789473,48344.63157894737,0.1462732486489546,2018
Global - G20,7340.157894736842,47448.68421052631,0.1546967638168659,2018
Global - G20,7926.842105263157,49028.78947368421,0.1616772959389059,2019
Global - G20,8494.736842105263,47789.26315789474,0.1777540870224097,2019
Global - G20,8639.315789473685,46052.0,0.187599144216835,2019
Global - G20,5914.052631578948,31568.157894736843,0.1873423419668386,2019
Global - G20,9764.526315789471,49273.05263157895,0.19817173473704,2020
Global - G20,8159.105263157895,38972.78947368421,0.2093538946876565,2020
Global - G20,9018.263157894737,39989.05263157895,0.2255182997451934,2020
Global - G20,9006.263157894737,37645.78947368421,0.2392369315083814,2020
Global - G20,7715.368421052632,30833.105263157893,0.2502300159261491,2021
Global - G20,7819.0,30659.315789473683,0.2550285222830873,2021
Global - G20,8180.473684210527,32309.57894736842,0.2531903525433226,2021
Global - G20,2962.4736842105262,13527.842105263158,0.2189908531722101,2021
Global - G20,8109.0526315789475,29407.263157894737,0.2757499937358834,2022
Global - G20,9617.684210526317,33906.94736842105,0.28364936855046,2022
Global - G20,9964.894736842103,34887.94736842105,0.2856257099797698,2022
Global - G20,35545.52631578947,114500.57894736844,0.3104397081880992,2022
Global - G20,53306.42105263158,184778.1052631579,0.2884888389601867,2023
Global - G20,35611.78947368421,120246.36842105264,0.2961568814202071,2023
Global - G7,4476.428571428572,30789.42857142857,0.145388491411709,2017
Global - G7,12372.857142857143,80399.28571428571,0.1538926252010057,2017
Global - G7,13076.857142857143,81269.0,0.1609083062773892,2017
Global - G7,13046.714285714286,83914.85714285714,0.1554756181435604,2018
Global - G7,13204.857142857143,83453.57142857143,0.1582299824538879,2018
Global - G7,13658.857142857143,83261.0,0.1640486799684983,2018
Global - G7,14395.42857142857,84649.85714285714,0.1700585099291366,2018
Global - G7,15638.57142857143,87281.85714285714,0.1791732204205423,2019
Global - G7,17143.85714285714,86371.85714285714,0.1984889257909735,2019
Global - G7,16969.714285714286,79948.42857142857,0.2122582593421831,2019
Global - G7,11727.57142857143,55501.142857142855,0.2113032421468798,2019
Global - G7,19282.14285714286,84297.28571428571,0.2287397831823089,2020
Global - G7,15906.57142857143,65631.85714285714,0.2423605261382212,2020
Global - G7,17577.0,71037.0,0.2474344355758266,2020
Global - G7,16935.285714285714,63808.142857142855,0.2654094752796889,2020
Global - G7,14597.714285714286,53654.57142857143,0.2720684164842831,2021
Global - G7,13792.42857142857,51670.57142857143,0.2669300568989256,2021
Global - G7,14397.142857142857,55701.142857142855,0.2584712291104568,2021
Global - G7,4564.428571428572,19955.85714285714,0.2287262601026551,2021
Global - G7,14681.0,51478.142857142855,0.285188998382115,2022
Global - G7,17739.571428571428,61551.42857142857,0.2882073063175973,2022
Global - G7,18477.85714285714,65153.57142857143,0.2836046702844926,2022
Global - G7,75091.42857142857,240312.57142857145,0.3124739922053896,2022
Global - G7,109979.85714285714,383003.4285714286,0.2871511034589769,2023
Global - G7,73939.28571428571,253568.0,0.2915954919953847,2023
United Kingdom,11400.0,63663.0,0.1790679044342868,2017
United Kingdom,28459.0,156818.0,0.1814778915685699,2017
United Kingdom,30282.0,154798.0,0.1956226824635977,2017
United Kingdom,32199.0,159451.0,0.2019366451135458,2018
United Kingdom,31688.0,155261.0,0.2040950399649622,2018
United Kingdom,33022.0,156059.0,0.2115994591789003,2018
United Kingdom,33619.0,152574.0,0.2203455372474995,2018
United Kingdom,36547.0,157062.0,0.2326915485604411,2019
United Kingdom,36004.0,148783.0,0.2419900122997923,2019
United Kingdom,38515.0,158123.0,0.2435762033353781,2019
United Kingdom,25281.0,103459.0,0.2443576682550575,2019
United Kingdom,43185.0,169986.0,0.2540503335568811,2020
United Kingdom,31815.0,112340.0,0.2832027772832473,2020
United Kingdom,36120.0,133676.0,0.2702055716807804,2020
United Kingdom,30013.0,107798.0,0.2784188945991577,2020
United Kingdom,27112.0,91516.0,0.2962542069146379,2021
United Kingdom,23253.0,78772.0,0.2951937236581526,2021
United Kingdom,24302.0,83714.0,0.2902979191055259,2021
United Kingdom,5645.0,19484.0,0.2897249024840895,2021
United Kingdom,21017.0,72904.0,0.2882832217710962,2022
United Kingdom,24929.0,85453.0,0.2917276163505085,2022
United Kingdom,27606.0,91157.0,0.3028401548975942,2022
United Kingdom,84271.0,266669.0,0.3160134848820072,2022
United Kingdom,89634.0,330060.0,0.271568805671696,2023
United Kingdom,63029.0,233263.0,0.2702057334425091,2023
India,3236.0,21159.0,0.1529372843707169,2017
India,10022.0,60362.0,0.1660316092906133,2017
India,18747.0,81427.0,0.2302307588392056,2017
India,14524.0,65268.0,0.2225286511000796,2018
India,12346.0,63470.0,0.1945170946904049,2018
India,16069.0,84197.0,0.1908500302861147,2018
India,19334.0,97844.0,0.1976002616409795,2018
India,21681.0,97248.0,0.2229454590325765,2019
India,19484.0,79883.0,0.243906713568594,2019
India,20453.0,86735.0,0.2358102265521416,2019
India,13244.0,57495.0,0.2303504652578485,2019
India,22475.0,98682.0,0.2277517683062767,2020
India,21436.0,90589.0,0.2366291713121902,2020
India,27351.0,102336.0,0.2672666510318949,2020
India,29845.0,109175.0,0.2733684451568582,2020
India,22452.0,75256.0,0.2983416604656107,2021
India,28321.0,80936.0,0.34991845408718,2021
India,30646.0,88819.0,0.3450387867460791,2021
India,8596.0,25358.0,0.3389857244262166,2021
India,25194.0,70023.0,0.359796067006555,2022
India,30317.0,91524.0,0.3312464490188366,2022
India,27228.0,77532.0,0.3511840272403653,2022
India,86812.0,235544.0,0.3685595897157219,2022
India,150542.0,433790.0,0.34703888978538,2023
India,92431.0,261926.0,0.3528897474859311,2023
Netherlands,2291.0,16423.0,0.1394994824331729,2017
Netherlands,5210.0,38069.0,0.1368567600935144,2017
Netherlands,4765.0,40414.0,0.117904686494779,2017
Netherlands,5277.0,43235.0,0.1220538915230715,2018
Netherlands,5805.0,43899.0,0.1322353584364108,2018
Netherlands,8168.0,46395.0,0.1760534540359952,2018
Netherlands,8236.0,45376.0,0.1815056417489421,2018
Netherlands,8165.0,43993.0,0.1855977087263882,2019
Netherlands,8500.0,45712.0,0.185946797339867,2019
Netherlands,7145.0,38184.0,0.1871202597946784,2019
Netherlands,4535.0,22863.0,0.1983554214232603,2019
Netherlands,8698.0,44251.0,0.1965605297055433,2020
Netherlands,7814.0,39480.0,0.1979229989868287,2020
Netherlands,10954.0,53582.0,0.2044343249598746,2020
Netherlands,9504.0,42701.0,0.2225708999789232,2020
Netherlands,8844.0,38626.0,0.2289649458913685,2021
Netherlands,7900.0,33959.0,0.2326334697723725,2021
Netherlands,8705.0,36288.0,0.2398864638447971,2021
Netherlands,3854.0,15561.0,0.247670458196774,2021
Netherlands,8372.0,33839.0,0.247406838263542,2022
Netherlands,9222.0,37624.0,0.24510950457155,2022
Netherlands,8701.0,34763.0,0.2502948537237868,2022
Netherlands,11421.0,46050.0,0.2480130293159609,2022
Netherlands,7491.0,32536.0,0.2302372756331448,2023
Netherlands,5127.0,20015.0,0.2561578815888083,2023
Poland,2000.0,19632.0,0.1018744906275468,2017
Poland,4612.0,43677.0,0.1055933328754264,2017
Poland,4744.0,45470.0,0.1043325269408401,2017
Poland,5433.0,40640.0,0.1336860236220472,2018
Poland,3625.0,30282.0,0.1197080774057195,2018
Poland,3296.0,27720.0,0.1189033189033189,2018
Poland,2521.0,19673.0,0.1281451735881665,2018
Poland,2590.0,18122.0,0.1429202074826178,2019
Poland,2448.0,18389.0,0.1331230627005274,2019
Poland,2479.0,17568.0,0.1411088342440801,2019
Poland,2581.0,14713.0,0.1754230952219126,2019
Poland,3264.0,20396.0,0.1600313787017062,2020
Poland,4542.0,23103.0,0.1965978444357875,2020
Poland,6218.0,33504.0,0.1855897803247373,2020
Poland,11957.0,58664.0,0.2038217646256648,2020
Poland,13234.0,66145.0,0.200075591503515,2021
Poland,14749.0,63247.0,0.2331968314702673,2021
Poland,16989.0,73822.0,0.2301346482078513,2021
Poland,11058.0,43608.0,0.2535773252614199,2021
Poland,16099.0,66719.0,0.2412955829673706,2022
Poland,18214.0,70807.0,0.2572344542206279,2022
Poland,25116.0,91714.0,0.2738513204090978,2022
Poland,38917.0,133713.0,0.2910487387165048,2022
Poland,43695.0,164030.0,0.2663841980125587,2023
Poland,26118.0,99641.0,0.2621210144418462,2023
United States,8135.0,52192.0,0.1558667995095033,2017
United States,29716.0,165940.0,0.179076774737857,2017
United States,31902.0,173943.0,0.1834049085045101,2017
United States,30656.0,170741.0,0.1795467989527998,2018
United States,33298.0,177299.0,0.1878070378287525,2018
United States,35067.0,178105.0,0.1968894753095084,2018
United States,37186.0,178790.0,0.2079870238827675,2018
United States,35618.0,165149.0,0.215671908397871,2019
United States,41381.0,176366.0,0.2346313915380515,2019
United States,40186.0,157922.0,0.2544673952964121,2019
United States,28004.0,116066.0,0.241276515086244,2019
United States,48988.0,185726.0,0.2637649009831687,2020
United States,48440.0,160162.0,0.3024437756771269,2020
United States,50559.0,146057.0,0.346159376133975,2020
United States,52722.0,137373.0,0.3837872070930969,2020
United States,37166.0,105091.0,0.3536554034122808,2021
United States,32559.0,96906.0,0.3359853879016779,2021
United States,30175.0,88459.0,0.3411184842695486,2021
United States,1783.0,5990.0,0.2976627712854758,2021
United States,32088.0,88213.0,0.3637559089930056,2022
United States,37284.0,101244.0,0.3682588597842835,2022
United States,33980.0,95956.0,0.3541206386260369,2022
United States,321476.0,930512.0,0.3454829169317537,2022
United States,530781.0,1717161.0,0.309103805641987,2023
United States,358835.0,1120502.0,0.3202448545384122,2023
